index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], memory.used [MiB], memory.free [MiB]
0, 2021/01/22 12:26:28.311, 6.56 W, 300 MHz, 405 MHz, 300 MHz, 1 MiB, 7981 MiB
0, 2021/01/22 12:26:29.314, 6.44 W, 300 MHz, 405 MHz, 300 MHz, 1 MiB, 7981 MiB
0, 2021/01/22 12:26:30.317, 6.66 W, 300 MHz, 405 MHz, 300 MHz, 1 MiB, 7981 MiB
0, 2021/01/22 12:26:31.320, 6.81 W, 300 MHz, 405 MHz, 300 MHz, 1 MiB, 7981 MiB
0, 2021/01/22 12:26:32.323, 6.77 W, 300 MHz, 405 MHz, 300 MHz, 1 MiB, 7981 MiB
0, 2021/01/22 12:26:33.326, 44.44 W, 1515 MHz, 6800 MHz, 1515 MHz, 234 MiB, 7748 MiB
0, 2021/01/22 12:26:34.328, 45.79 W, 1515 MHz, 6800 MHz, 1515 MHz, 758 MiB, 7224 MiB
0, 2021/01/22 12:26:35.330, 98.50 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:36.333, 114.64 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:37.335, 115.54 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:38.337, 115.53 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:39.343, 115.76 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:40.348, 115.88 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:41.354, 116.44 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:42.358, 116.77 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:43.363, 116.78 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:44.365, 116.42 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:45.367, 116.62 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:46.370, 117.03 W, 1965 MHz, 6800 MHz, 1965 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:47.372, 89.76 W, 1950 MHz, 6800 MHz, 1950 MHz, 5324 MiB, 2658 MiB
0, 2021/01/22 12:26:48.374, 116.95 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:49.380, 117.13 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:50.386, 117.27 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:51.393, 117.17 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:52.400, 117.62 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:53.408, 116.55 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:54.412, 116.17 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:55.418, 116.41 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:56.422, 116.78 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:57.428, 116.66 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:58.434, 117.21 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:26:59.440, 118.81 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:00.445, 143.32 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:01.449, 118.97 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:02.452, 117.71 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:03.455, 118.20 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:04.458, 117.95 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:05.460, 117.67 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:06.462, 118.04 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:07.464, 119.85 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:08.467, 118.18 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:09.471, 118.53 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:10.473, 118.18 W, 1950 MHz, 6800 MHz, 1950 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:11.475, 118.89 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:12.478, 117.74 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:13.480, 118.77 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:14.482, 118.78 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:15.488, 118.67 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:16.494, 119.14 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:17.500, 119.06 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:18.505, 118.90 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
0, 2021/01/22 12:27:19.509, 119.32 W, 1935 MHz, 6800 MHz, 1935 MHz, 5328 MiB, 2654 MiB
